School Code,School Year,District Code,District Name,County,School Name,TYPE,INDEX,2016 INDEX,TOTAL,Native,Asian,Black,PI,White,2+,Hispanic,NativePerc,AsianPerc,BlackPerc,PIPerc,WhitePerc,2+Perc,HispanicPerc
3739,2019-20,17216,Enumclaw School District,King,Southwood Elementary School,Elementary,37.1,33.7,331,1,0,6,1,257,15,51,0.3%,0.0%,1.8%,0.3%,77.6%,4.5%,15.4%
2143,2019-20,17001,Seattle School District #1,King,John Muir Elementary School,Elementary,67.1,70.1,331,2,34,172,3,57,33,30,0.6%,10.3%,52.0%,0.9%,17.2%,10.0%,9.1%
3034,2019-20,17403,Renton School District,King,Campbell Hill Elementary School,Elementary,75.1,75.9,331,4,83,115,4,24,24,77,1.2%,25.1%,34.7%,1.2%,7.3%,7.3%,23.3%
4305,2019-20,17417,Northshore School District,King,Bear Creek Elementary,Elementary,59.9,53.7,332,0,154,2,1,141,23,11,0.0%,46.4%,0.6%,0.3%,42.5%,6.9%,3.3%
4477,2019-20,31306,Lakewood School District,Snohomish,English Crossing Elementary,Elementary,61.3,#N/A,334,7,7,9,3,188,45,75,2.1%,2.1%,2.7%,0.9%,56.3%,13.5%,22.5%
2269,2019-20,17001,Seattle School District #1,King,Highland Park Elementary School,Elementary,78.6,79.6,334,1,60,60,4,67,39,103,0.3%,18.0%,18.0%,1.2%,20.1%,11.7%,30.8%
5275,2019-20,17415,Kent School District,King,iGrad,Other,75.9,74.4,335,6,22,50,11,92,35,119,1.8%,6.6%,14.9%,3.3%,27.5%,10.4%,35.5%
4551,2019-20,31401,Stanwood-Camano School District,Snohomish,Utsalady Elementary,Elementary,24.2,26.1,339,1,4,2,3,294,13,22,0.3%,1.2%,0.6%,0.9%,86.7%,3.8%,6.5%
5953,2019-20,17937,Lake Washington Institute of Technology,King,Lake Washington Technical Academy,High,44.8,#N/A,339,0,9,8,1,244,19,58,0.0%,2.7%,2.4%,0.3%,72.0%,5.6%,17.1%
2307,2019-20,17001,Seattle School District #1,King,Bailey Gatzert Elementary School,Elementary,63,62.7,339,2,31,192,2,20,41,51,0.6%,9.1%,56.6%,0.6%,5.9%,12.1%,15.0%
2751,2019-20,31002,Everett School District,Snohomish,Jackson Elementary School,Elementary,63.8,59.9,340,2,9,12,16,185,44,72,0.6%,2.6%,3.5%,4.7%,54.4%,12.9%,21.2%
4399,2019-20,31311,Sultan School District,Snohomish,Gold Bar Elementary,Elementary,45,39.4,341,0,2,5,2,234,2,96,0.0%,0.6%,1.5%,0.6%,68.6%,0.6%,28.2%
1596,2019-20,17001,Seattle School District #1,King,Seattle World School,High,59.6,72.1,343,0,90,44,1,15,0,193,0.0%,26.2%,12.8%,0.3%,4.4%,0.0%,56.3%
2199,2019-20,17001,Seattle School District #1,King,Concord International School,Elementary,66.5,60.9,344,4,34,27,5,50,41,183,1.2%,9.9%,7.8%,1.5%,14.5%,11.9%,53.2%
5375,2019-20,17902,Summit Public School: Sierra,King,Summit Public School: Sierra,High,74.6,#N/A,345,0,25,114,2,110,51,43,0.0%,7.2%,33.0%,0.6%,31.9%,14.8%,12.5%
3803,2019-20,17001,Seattle School District #1,King,Dearborn Park International School,Elementary,74,69.3,347,0,137,86,1,36,50,37,0.0%,39.5%,24.8%,0.3%,10.4%,14.4%,10.7%
5380,2019-20,17908,Rainier Prep Charter School District,King,Rainier Prep,Middle,64.9,#N/A,350,0,22,140,0,17,22,149,0.0%,6.3%,40.0%,0.0%,4.9%,6.3%,42.6%
1649,2019-20,17414,Lake Washington School District,King,Contractual Schools,Other,65,#N/A,352,0,23,17,0,183,83,46,0.0%,6.5%,4.8%,0.0%,52.0%,23.6%,13.1%
3547,2019-20,17210,Federal Way School District,King,Camelot Elementary School,Elementary,76.6,71.1,353,1,56,34,12,127,39,84,0.3%,15.9%,9.6%,3.4%,36.0%,11.0%,23.8%
2121,2019-20,17001,Seattle School District #1,King,Leschi Elementary School,Elementary,71.3,65.3,357,1,9,127,1,127,50,42,0.3%,2.5%,35.6%,0.3%,35.6%,14.0%,11.8%
2181,2019-20,17001,Seattle School District #1,King,Alki Elementary School,Elementary,50.2,51.9,359,0,13,18,0,244,59,25,0.0%,3.6%,5.0%,0.0%,68.0%,16.4%,7.0%
2765,2019-20,17401,Highline School District,King,Beverly Park Elementary at Glendale,Elementary,72.9,69.5,359,4,36,73,18,48,21,159,1.1%,10.0%,20.3%,5.0%,13.4%,5.8%,44.3%
4150,2019-20,31025,Marysville School District,Snohomish,Marshall Elementary,Elementary,64.3,62,363,23,11,7,4,196,45,77,6.3%,3.0%,1.9%,1.1%,54.0%,12.4%,21.2%
3628,2019-20,17210,Federal Way School District,King,Twin Lakes Elementary School,Elementary,77.1,75.1,365,0,18,56,27,126,47,91,0.0%,4.9%,15.3%,7.4%,34.5%,12.9%,24.9%
3568,2019-20,17210,Federal Way School District,King,Lake Grove Elementary School,Elementary,72.3,74.1,367,6,23,31,26,84,33,164,1.6%,6.3%,8.4%,7.1%,22.9%,9.0%,44.7%
5119,2019-20,17401,Highline School District,King,Valley View Early Childhood Center,Other,75.7,74.7,368,1,43,112,4,76,21,111,0.3%,11.7%,30.4%,1.1%,20.7%,5.7%,30.2%
5240,2019-20,17405,Bellevue School District,King,Bellevue Big Picture School,Other,64.4,58.5,369,1,94,10,2,192,46,24,0.3%,25.5%,2.7%,0.5%,52.0%,12.5%,6.5%
3585,2019-20,17216,Enumclaw School District,King,Westwood Elementary School,Elementary,35,41.9,371,6,3,1,0,294,15,52,1.6%,0.8%,0.3%,0.0%,79.2%,4.0%,14.0%
3160,2019-20,17210,Federal Way School District,King,Star Lake Elementary School,Elementary,80.2,78.5,371,2,30,69,32,77,52,109,0.5%,8.1%,18.6%,8.6%,20.8%,14.0%,29.4%
4379,2019-20,17417,Northshore School District,King,East Ridge Elementary,Elementary,38.5,29.9,374,0,24,0,0,289,36,25,0.0%,6.4%,0.0%,0.0%,77.3%,9.6%,6.7%
2929,2019-20,17403,Renton School District,King,Lakeridge Elementary School (Renton),Elementary,66.4,63.1,375,3,54,198,4,40,21,55,0.8%,14.4%,52.8%,1.1%,10.7%,5.6%,14.7%
4426,2019-20,17210,Federal Way School District,King,Green Gables Elementary School,Elementary,76.8,69.3,378,1,37,53,11,140,74,62,0.3%,9.8%,14.0%,2.9%,37.0%,19.6%,16.4%
4553,2019-20,31401,Stanwood-Camano School District,Snohomish,Elger Bay Elementary,Elementary,30.6,27.6,379,4,2,0,2,313,27,31,1.1%,0.5%,0.0%,0.5%,82.6%,7.1%,8.2%
3667,2019-20,17402,Vashon Island School District,King,McMurray Middle School,Middle,39.4,34.4,381,0,4,1,0,290,36,50,0.0%,1.0%,0.3%,0.0%,76.1%,9.4%,13.1%
4124,2019-20,17417,Northshore School District,King,Hollywood Hill Elementary,Elementary,50.7,42.6,381,0,20,11,1,258,33,58,0.0%,5.2%,2.9%,0.3%,67.7%,8.7%,15.2%
3700,2019-20,17210,Federal Way School District,King,Brigadoon Elementary School,Elementary,78.4,74.5,382,5,37,49,11,119,64,97,1.3%,9.7%,12.8%,2.9%,31.2%,16.8%,25.4%
2977,2019-20,17001,Seattle School District #1,King,Viewlands Elementary School,Elementary,68.3,69.4,383,2,33,39,4,194,52,59,0.5%,8.6%,10.2%,1.0%,50.7%,13.6%,15.4%
2118,2019-20,17001,Seattle School District #1,King,Emerson Elementary School (Seattle),Elementary,69.1,71.5,383,0,63,182,5,15,37,81,0.0%,16.4%,47.5%,1.3%,3.9%,9.7%,21.1%
3529,2019-20,17414,Lake Washington School District,King,Mann Elementary,Elementary,62.2,57.6,384,0,124,4,0,196,36,24,0.0%,32.3%,1.0%,0.0%,51.0%,9.4%,6.3%
3678,2019-20,17415,Kent School District,King,Fairwood Elementary School,Elementary,73.6,73.3,388,3,47,38,8,168,54,70,0.8%,12.1%,9.8%,2.1%,43.3%,13.9%,18.0%
4576,2019-20,31306,Lakewood School District,Snohomish,Cougar Creek Elementary School,Elementary,55.2,#N/A,389,2,12,8,1,245,49,72,0.5%,3.1%,2.1%,0.3%,63.0%,12.6%,18.5%
2450,2019-20,17001,Seattle School District #1,King,Daniel Bagley Elementary School,Elementary,56.2,51.6,389,0,32,10,1,245,57,44,0.0%,8.2%,2.6%,0.3%,63.0%,14.7%,11.3%
1635,2019-20,17001,Seattle School District #1,King,Interagency Programs,Other,72.7,74.3,389,10,17,159,4,49,43,107,2.6%,4.4%,40.9%,1.0%,12.6%,11.1%,27.5%
3635,2019-20,17406,Tukwila School District,King,Thorndyke Elementary,Elementary,77.7,75.5,389,8,50,113,22,45,28,123,2.1%,12.9%,29.0%,5.7%,11.6%,7.2%,31.6%
3335,2019-20,17401,Highline School District,King,Parkside Elementary,Elementary,72.3,77.1,390,4,54,61,6,79,16,170,1.0%,13.8%,15.6%,1.5%,20.3%,4.1%,43.6%
5048,2019-20,17001,Seattle School District #1,King,Birth to 3 Contracts,Other,70.3,70.4,392,2,58,47,0,188,48,49,0.5%,14.8%,12.0%,0.0%,48.0%,12.2%,12.5%
4364,2019-20,31401,Stanwood-Camano School District,Snohomish,Twin City Elementary,Elementary,49.4,41.8,399,6,8,8,2,273,33,69,1.5%,2.0%,2.0%,0.5%,68.4%,8.3%,17.3%
3218,2019-20,17001,Seattle School District #1,King,North Beach Elementary School,Elementary,42,44.4,401,0,19,8,3,300,48,23,0.0%,4.7%,2.0%,0.7%,74.8%,12.0%,5.7%
2139,2019-20,17001,Seattle School District #1,King,Gatewood Elementary School,Elementary,52.5,55.2,401,2,12,30,1,266,60,30,0.5%,3.0%,7.5%,0.2%,66.3%,15.0%,7.5%
3553,2019-20,17401,Highline School District,King,Raisbeck Aviation High School,High,73.1,56.9,401,2,110,52,0,158,27,52,0.5%,27.4%,13.0%,0.0%,39.4%,6.7%,13.0%
2796,2019-20,17414,Lake Washington School District,King,Juanita Elementary,Elementary,63.6,63.4,402,0,60,12,1,220,36,73,0.0%,14.9%,3.0%,0.2%,54.7%,9.0%,18.2%
3519,2019-20,17210,Federal Way School District,King,Adelaide Elementary School,Elementary,79.9,74.9,402,1,32,61,40,96,53,119,0.2%,8.0%,15.2%,10.0%,23.9%,13.2%,29.6%
3382,2019-20,17401,Highline School District,King,Seahurst Elementary School,Elementary,61.3,68.9,405,5,39,24,14,63,22,238,1.2%,9.6%,5.9%,3.5%,15.6%,5.4%,58.8%
4336,2019-20,17414,Lake Washington School District,King,Wilder Elementary,Elementary,59,59.5,406,0,105,3,0,233,22,43,0.0%,25.9%,0.7%,0.0%,57.4%,5.4%,10.6%
4065,2019-20,17001,Seattle School District #1,King,Orca K-8 School,Elementary Middle,67.9,63.1,406,1,26,90,2,201,49,37,0.2%,6.4%,22.2%,0.5%,49.5%,12.1%,9.1%
3107,2019-20,17417,Northshore School District,King,Arrowhead Elementary,Elementary,52.1,49.4,408,0,34,11,1,273,47,42,0.0%,8.3%,2.7%,0.2%,66.9%,11.5%,10.3%
4366,2019-20,31201,Snohomish School District,Snohomish,Cascade View Elementary (Snohomish),Elementary,34.4,32.4,409,1,7,4,1,327,22,47,0.2%,1.7%,1.0%,0.2%,80.0%,5.4%,11.5%
3717,2019-20,17001,Seattle School District #1,King,B F Day Elementary School,Elementary,54.9,62.4,409,0,19,29,0,262,68,31,0.0%,4.6%,7.1%,0.0%,64.1%,16.6%,7.6%
3521,2019-20,17403,Renton School District,King,Renton Park Elementary School,Elementary,78.8,78.5,409,4,60,62,9,104,49,121,1.0%,14.7%,15.2%,2.2%,25.4%,12.0%,29.6%
3162,2019-20,17400,Mercer Island School District,King,Island Park Elementary,Elementary,62.1,57.8,410,0,90,2,0,224,70,24,0.0%,22.0%,0.5%,0.0%,54.6%,17.1%,5.9%
3059,2019-20,31025,Marysville School District,Snohomish,Cascade Elementary (Marysville),Elementary,70.5,68.7,412,4,44,10,6,169,48,131,1.0%,10.7%,2.4%,1.5%,41.0%,11.7%,31.8%
2439,2019-20,17403,Renton School District,King,Bryn Mawr Elementary School,Elementary,78.2,79.3,412,3,94,108,8,39,47,113,0.7%,22.8%,26.2%,1.9%,9.5%,11.4%,27.4%
2183,2019-20,17001,Seattle School District #1,King,Lawton Elementary School,Elementary,45,45.3,413,0,25,6,1,299,54,28,0.0%,6.1%,1.5%,0.2%,72.4%,13.1%,6.8%
2070,2019-20,17001,Seattle School District #1,King,Beacon Hill International School,Elementary,76,74.9,418,2,102,25,0,73,74,142,0.5%,24.4%,6.0%,0.0%,17.5%,17.7%,34.0%
3707,2019-20,17415,Kent School District,King,Soos Creek Elementary School,Elementary,79.9,77,419,1,99,46,16,106,61,90,0.2%,23.6%,11.0%,3.8%,25.3%,14.6%,21.5%
4343,2019-20,17210,Federal Way School District,King,Silver Lake Elementary School (Federal Way),Elementary,78.2,75.5,419,0,19,122,35,62,62,119,0.0%,4.5%,29.1%,8.4%,14.8%,14.8%,28.4%
4544,2019-20,31103,Monroe School District,Snohomish,Hidden River Middle School,Middle,47.6,42.4,420,3,15,1,0,289,21,91,0.7%,3.6%,0.2%,0.0%,68.8%,5.0%,21.7%
3708,2019-20,17415,Kent School District,King,Grass Lake Elementary School,Elementary,53.8,49.4,421,1,23,7,5,272,35,78,0.2%,5.5%,1.7%,1.2%,64.6%,8.3%,18.5%
3637,2019-20,17411,Issaquah School District,King,Maple Hills Elementary,Elementary,41.8,33.8,422,1,8,7,0,314,64,28,0.2%,1.9%,1.7%,0.0%,74.4%,15.2%,6.6%
3305,2019-20,31201,Snohomish School District,Snohomish,Cathcart Elementary,Elementary,39.5,33.9,423,4,4,4,0,320,16,75,0.9%,0.9%,0.9%,0.0%,75.7%,3.8%,17.7%
4594,2019-20,31103,Monroe School District,Snohomish,Fryelands Elementary,Elementary,55.2,51,424,0,8,2,1,255,40,118,0.0%,1.9%,0.5%,0.2%,60.1%,9.4%,27.8%
3748,2019-20,17414,Lake Washington School District,King,Muir Elementary,Elementary,70.6,65.1,424,2,115,14,1,181,40,71,0.5%,27.1%,3.3%,0.2%,42.7%,9.4%,16.7%
3534,2019-20,31015,Edmonds School District,Snohomish,Chase Lake Elementary,Elementary,73.5,73.1,424,1,22,39,20,168,57,117,0.2%,5.2%,9.2%,4.7%,39.6%,13.4%,27.6%
4424,2019-20,17414,Lake Washington School District,King,Einstein Elementary,Elementary,69,72.6,424,1,187,12,0,118,30,76,0.2%,44.1%,2.8%,0.0%,27.8%,7.1%,17.9%
5229,2019-20,17403,Renton School District,King,Honey Dew Elementary,Elementary,68.6,68.1,425,1,70,30,6,80,29,209,0.2%,16.5%,7.1%,1.4%,18.8%,6.8%,49.2%
3329,2019-20,17210,Federal Way School District,King,Panther Lake Elementary School (Federal Way),Elementary,78,77.9,425,2,32,85,49,65,39,153,0.5%,7.5%,20.0%,11.5%,15.3%,9.2%,36.0%
3187,2019-20,31025,Marysville School District,Snohomish,Shoultes Elementary,Elementary,63,63.8,427,2,34,6,5,227,38,115,0.5%,8.0%,1.4%,1.2%,53.2%,8.9%,26.9%
2841,2019-20,17210,Federal Way School District,King,Lakeland Elementary School,Elementary,68.2,66.4,427,2,40,38,15,217,36,79,0.5%,9.4%,8.9%,3.5%,50.8%,8.4%,18.5%
3104,2019-20,17412,Shoreline School District,King,Echo Lake Elementary School,Elementary,75.1,69.3,427,0,70,37,5,162,53,100,0.0%,16.4%,8.7%,1.2%,37.9%,12.4%,23.4%
4374,2019-20,17210,Federal Way School District,King,Sherwood Forest Elementary School (Federal Way),Elementary,79,76.4,427,2,77,41,20,130,56,101,0.5%,18.0%,9.6%,4.7%,30.4%,13.1%,23.7%
3432,2019-20,17210,Federal Way School District,King,Olympic View Elementary School (Federal Way),Elementary,72.2,64,427,4,26,52,37,58,50,200,0.9%,6.1%,12.2%,8.7%,13.6%,11.7%,46.8%
5593,2019-20,17412,Shoreline School District,King,Edwin Pratt Learning Center,Other,72.8,#N/A,429,4,56,68,2,191,52,56,0.9%,13.1%,15.9%,0.5%,44.5%,12.1%,13.1%
2061,2019-20,17001,Seattle School District #1,King,Green Lake Elementary School,Elementary,49.6,43.7,430,2,30,9,0,296,59,34,0.5%,7.0%,2.1%,0.0%,68.8%,13.7%,7.9%
4248,2019-20,17001,Seattle School District #1,King,Hawthorne Elementary School (Seattle),Elementary,76.2,78.5,430,1,54,91,0,156,54,74,0.2%,12.6%,21.2%,0.0%,36.3%,12.6%,17.2%
1706,2019-20,17414,Lake Washington School District,King,International Community School,Middle High,57.7,59.5,430,0,231,2,1,155,26,15,0.0%,53.7%,0.5%,0.2%,36.0%,6.0%,3.5%
3964,2019-20,31025,Marysville School District,Snohomish,Liberty Elementary,Elementary,66.9,67,431,19,11,9,13,190,36,153,4.4%,2.6%,2.1%,3.0%,44.1%,8.4%,35.5%
2645,2019-20,17001,Seattle School District #1,King,West Seattle Elementary School,Elementary,45.3,59.4,431,0,19,313,2,38,26,33,0.0%,4.4%,72.6%,0.5%,8.8%,6.0%,7.7%
2485,2019-20,17407,Riverview School District,King,Carnation Elementary School,Elementary,38.8,40.5,433,1,21,8,0,332,9,62,0.2%,4.8%,1.8%,0.0%,76.7%,2.1%,14.3%
2733,2019-20,17001,Seattle School District #1,King,Lafayette Elementary School,Elementary,54.4,53.8,435,2,16,21,3,280,77,36,0.5%,3.7%,4.8%,0.7%,64.4%,17.7%,8.3%
4301,2019-20,17415,Kent School District,King,Jenkins Creek Elementary School,Elementary,70.1,61.7,435,2,42,29,9,207,60,86,0.5%,9.7%,6.7%,2.1%,47.6%,13.8%,19.8%
3478,2019-20,17001,Seattle School District #1,King,Kimball Elementary School,Elementary,79,76.2,435,0,93,108,2,109,60,63,0.0%,21.4%,24.8%,0.5%,25.1%,13.8%,14.5%
2120,2019-20,17001,Seattle School District #1,King,Van Asselt Elementary School,Elementary,70.1,66.8,435,4,130,187,1,21,48,44,0.9%,29.9%,43.0%,0.2%,4.8%,11.0%,10.1%
3461,2019-20,31015,Edmonds School District,Snohomish,Seaview Elementary,Elementary,53.1,52.1,436,0,26,9,0,286,61,54,0.0%,6.0%,2.1%,0.0%,65.6%,14.0%,12.4%
5123,2019-20,31025,Marysville School District,Snohomish,Grove Elementary,Elementary,62.5,61,436,9,29,14,2,246,54,82,2.1%,6.7%,3.2%,0.5%,56.4%,12.4%,18.8%
3593,2019-20,17415,Kent School District,King,Pine Tree Elementary School,Elementary,79.9,79.1,436,2,81,71,16,124,51,91,0.5%,18.6%,16.3%,3.7%,28.4%,11.7%,20.9%
3738,2019-20,17210,Federal Way School District,King,Lake Dolloff Elementary School,Elementary,80.4,78.7,436,1,52,91,25,106,54,107,0.2%,11.9%,20.9%,5.7%,24.3%,12.4%,24.5%
3339,2019-20,17405,Bellevue School District,King,Sherwood Forest Elementary (Bellevue),Elementary,74.5,76.3,437,1,93,35,2,120,33,153,0.2%,21.3%,8.0%,0.5%,27.5%,7.6%,35.0%
3702,2019-20,17403,Renton School District,King,Tiffany Park Elementary School,Elementary,76.8,76.6,439,1,71,81,3,157,48,78,0.2%,16.2%,18.5%,0.7%,35.8%,10.9%,17.8%
3675,2019-20,17414,Lake Washington School District,King,Frost Elementary,Elementary,64.9,65.3,441,2,29,16,2,220,41,131,0.5%,6.6%,3.6%,0.5%,49.9%,9.3%,29.7%
2546,2019-20,31103,Monroe School District,Snohomish,Maltby Elementary,Elementary,39.7,37.5,442,1,8,6,2,336,24,65,0.2%,1.8%,1.4%,0.5%,76.0%,5.4%,14.7%
3226,2019-20,17406,Tukwila School District,King,Cascade View Elementary (Tukwila),Elementary,71.9,72.8,442,2,160,74,6,41,11,148,0.5%,36.2%,16.7%,1.4%,9.3%,2.5%,33.5%
4466,2019-20,17415,Kent School District,King,Sawyer Woods Elementary School,Elementary,49.4,45.6,443,4,26,13,2,307,45,46,0.9%,5.9%,2.9%,0.5%,69.3%,10.2%,10.4%
4165,2019-20,31006,Mukilteo School District,Snohomish,Picnic Point Elementary,Elementary,68.8,71.5,443,1,52,30,4,219,59,78,0.2%,11.7%,6.8%,0.9%,49.4%,13.3%,17.6%
4383,2019-20,31201,Snohomish School District,Snohomish,Totem Falls,Other,36.3,33.1,444,1,48,7,3,350,16,19,0.2%,10.8%,1.6%,0.7%,78.8%,3.6%,4.3%
2092,2019-20,17001,Seattle School District #1,King,Whittier Elementary School (Seattle),Elementary,40.3,36.1,444,0,11,7,0,337,50,39,0.0%,2.5%,1.6%,0.0%,75.9%,11.3%,8.8%
2669,2019-20,31002,Everett School District,Snohomish,Madison Elementary,Elementary,71.1,67.2,444,0,30,22,10,145,62,175,0.0%,6.8%,5.0%,2.3%,32.7%,14.0%,39.4%
3337,2019-20,17403,Renton School District,King,Cascade Elementary School (Renton),Elementary,80.4,79,450,1,80,80,15,89,64,121,0.2%,17.8%,17.8%,3.3%,19.8%,14.2%,26.9%
3278,2019-20,17401,Highline School District,King,Madrona Elementary,Elementary,63.3,61.1,450,4,27,99,29,24,18,249,0.9%,6.0%,22.0%,6.4%,5.3%,4.0%,55.3%
2980,2019-20,17216,Enumclaw School District,King,Byron Kibler Elementary School,Elementary,41.2,43.5,451,1,3,1,0,332,19,95,0.2%,0.7%,0.2%,0.0%,73.6%,4.2%,21.1%
2981,2019-20,17400,Mercer Island School District,King,Lakeridge Elementary School (Mercer Island),Elementary,59,48,451,0,101,1,1,261,69,18,0.0%,22.4%,0.2%,0.2%,57.9%,15.3%,4.0%
3687,2019-20,31006,Mukilteo School District,Snohomish,Serene Lake Elementary,Elementary,67.8,68.3,451,3,76,30,1,229,47,65,0.7%,16.9%,6.7%,0.2%,50.8%,10.4%,14.4%
2844,2019-20,17401,Highline School District,King,Gregory Heights Elementary,Elementary,66.9,68,451,4,29,24,8,167,26,193,0.9%,6.4%,5.3%,1.8%,37.0%,5.8%,42.8%
3255,2019-20,31306,Lakewood School District,Snohomish,Lakewood Elementary School,Elementary,54.6,#N/A,453,2,6,9,9,288,57,82,0.4%,1.3%,2.0%,2.0%,63.6%,12.6%,18.1%
2065,2019-20,31002,Everett School District,Snohomish,Garfield Elementary School,Elementary,62.4,61.2,453,7,18,7,4,235,41,141,1.5%,4.0%,1.5%,0.9%,51.9%,9.1%,31.1%
3607,2019-20,31015,Edmonds School District,Snohomish,Hazelwood Elementary (Edmonds),Elementary,71.2,70.3,453,5,72,32,2,203,38,101,1.1%,15.9%,7.1%,0.4%,44.8%,8.4%,22.3%
2256,2019-20,17001,Seattle School District #1,King,Olympic View Elementary School (Seattle),Elementary,70.5,69.4,454,1,49,76,0,215,50,63,0.2%,10.8%,16.7%,0.0%,47.4%,11.0%,13.9%
3122,2019-20,31015,Edmonds School District,Snohomish,Lynndale Elementary,Elementary,69.4,71.8,454,5,35,34,3,209,46,122,1.1%,7.7%,7.5%,0.7%,46.0%,10.1%,26.9%
3489,2019-20,17412,Shoreline School District,King,Parkwood Elementary,Elementary,73.7,72.4,454,2,68,49,11,194,44,86,0.4%,15.0%,10.8%,2.4%,42.7%,9.7%,18.9%
3168,2019-20,17405,Bellevue School District,King,Phantom Lake Elementary,Elementary,73.8,70.6,455,2,123,23,0,171,66,70,0.4%,27.0%,5.1%,0.0%,37.6%,14.5%,15.4%
3633,2019-20,17405,Bellevue School District,King,Ardmore Elementary School,Elementary,72.6,73.8,456,2,179,35,3,107,22,108,0.4%,39.3%,7.7%,0.7%,23.5%,4.8%,23.7%
4113,2019-20,31332,Granite Falls School District,Snohomish,Granite Falls Middle School,Middle,43,26.7,459,12,3,10,3,339,29,63,2.6%,0.7%,2.2%,0.7%,73.9%,6.3%,13.7%
4353,2019-20,17415,Kent School District,King,Carriage Crest Elementary School,Elementary,71.2,69.3,459,0,103,36,5,207,50,58,0.0%,22.4%,7.8%,1.1%,45.1%,10.9%,12.6%
5482,2019-20,31006,Mukilteo School District,Snohomish,Pathfinder Kindergarten Center,Other,73.3,#N/A,459,1,63,51,7,176,27,134,0.2%,13.7%,11.1%,1.5%,38.3%,5.9%,29.2%
3740,2019-20,17403,Renton School District,King,Talbot Hill Elementary School,Elementary,77.4,78.6,459,0,153,75,5,94,43,89,0.0%,33.3%,16.3%,1.1%,20.5%,9.4%,19.4%
4479,2019-20,31332,Granite Falls School District,Snohomish,Monte Cristo Elementary,Elementary,38,43.1,460,12,6,3,1,357,28,53,2.6%,1.3%,0.7%,0.2%,77.6%,6.1%,11.5%
4345,2019-20,17415,Kent School District,King,Horizon Elementary School (Kent),Elementary,74.6,72,461,1,85,50,6,184,42,93,0.2%,18.4%,10.8%,1.3%,39.9%,9.1%,20.2%
4289,2019-20,17216,Enumclaw School District,King,Sunrise Elementary (Enumclaw),Elementary,38.3,36.1,462,6,5,5,1,354,12,79,1.3%,1.1%,1.1%,0.2%,76.6%,2.6%,17.1%
2462,2019-20,17001,Seattle School District #1,King,Loyal Heights Elementary School,Elementary,42.2,34.3,462,0,22,10,0,345,52,33,0.0%,4.8%,2.2%,0.0%,74.7%,11.3%,7.1%
3026,2019-20,17001,Seattle School District #1,King,Wedgwood Elementary School,Elementary,60,60.9,463,1,48,17,0,271,92,34,0.2%,10.4%,3.7%,0.0%,58.5%,19.9%,7.3%
3536,2019-20,31015,Edmonds School District,Snohomish,Brier Elementary,Elementary,56.8,53.2,465,1,39,13,2,291,62,57,0.2%,8.4%,2.8%,0.4%,62.6%,13.3%,12.3%
3231,2019-20,17412,Shoreline School District,King,Highland Terrace Elementary,Elementary,57.2,56.6,466,0,51,16,4,290,66,39,0.0%,10.9%,3.4%,0.9%,62.2%,14.2%,8.4%
2081,2019-20,17001,Seattle School District #1,King,John Stanford International School,Elementary,69.6,64.3,466,1,64,3,0,211,93,94,0.2%,13.7%,0.6%,0.0%,45.3%,20.0%,20.2%
3747,2019-20,17414,Lake Washington School District,King,Sandburg Elementary,Elementary,54.3,38.5,467,0,57,5,2,302,52,49,0.0%,12.2%,1.1%,0.4%,64.7%,11.1%,10.5%
2887,2019-20,31015,Edmonds School District,Snohomish,Martha Lake Elementary,Elementary,75.9,72.2,467,1,102,30,10,145,44,135,0.2%,21.8%,6.4%,2.1%,31.0%,9.4%,28.9%
3328,2019-20,17210,Federal Way School District,King,Woodmont K-8 School,Elementary Middle,77.7,77.1,467,1,52,86,13,120,48,147,0.2%,11.1%,18.4%,2.8%,25.7%,10.3%,31.5%
3409,2019-20,31015,Edmonds School District,Snohomish,Cedar Valley Community School,Elementary,67.1,64.7,469,4,38,66,2,82,35,242,0.9%,8.1%,14.1%,0.4%,17.5%,7.5%,51.6%
3287,2019-20,17417,Northshore School District,King,Westhill Elementary,Elementary,59.7,58.7,471,0,77,6,2,278,42,66,0.0%,16.3%,1.3%,0.4%,59.0%,8.9%,14.0%
3230,2019-20,17412,Shoreline School District,King,Brookside Elementary,Elementary,58,56.8,473,0,40,9,0,288,75,61,0.0%,8.5%,1.9%,0.0%,60.9%,15.9%,12.9%
2667,2019-20,17001,Seattle School District #1,King,View Ridge Elementary School (Seattle),Elementary,61.6,52.8,473,1,81,13,0,268,81,29,0.2%,17.1%,2.7%,0.0%,56.7%,17.1%,6.1%
3433,2019-20,17400,Mercer Island School District,King,West Mercer Elementary,Elementary,66.2,56.1,473,0,127,5,0,228,81,32,0.0%,26.8%,1.1%,0.0%,48.2%,17.1%,6.8%
4469,2019-20,31006,Mukilteo School District,Snohomish,Endeavour Elementary (Mukilteo),Elementary,70.9,70,473,0,153,27,0,188,59,46,0.0%,32.3%,5.7%,0.0%,39.7%,12.5%,9.7%
5308,2019-20,17405,Bellevue School District,King,Jing Mei Elementary School,Elementary,50,57.9,473,0,318,6,2,50,90,7,0.0%,67.2%,1.3%,0.4%,10.6%,19.0%,1.5%
3159,2019-20,17210,Federal Way School District,King,Mirror Lake Elementary School,Elementary,78.9,75.1,474,1,53,115,37,61,54,153,0.2%,11.2%,24.3%,7.8%,12.9%,11.4%,32.3%
