School Code,School Year,District Code,District Name,County,School Name,TYPE,INDEX,2016 INDEX,TOTAL,Native,Asian,Black,PI,White,2+,Hispanic,NativePerc,AsianPerc,BlackPerc,PIPerc,WhitePerc,2+Perc,HispanicPerc
4167,2019-20,17414,Lake Washington School District,King,Northstar Middle School,Middle,60.7,59.3,90,0,40,0,0,39,7,4,0.0%,44.4%,0.0%,0.0%,43.3%,7.8%,4.4%
1975,2019-20,17414,Lake Washington School District,King,Stella Schola,Middle,64.1,58.1,90,0,44,1,0,29,8,8,0.0%,48.9%,1.1%,0.0%,32.2%,8.9%,8.9%
1904,2019-20,31201,Snohomish School District,Snohomish,Parent Partnerhip,Other,16.5,19.9,91,0,1,0,0,83,4,3,0.0%,1.1%,0.0%,0.0%,91.2%,4.4%,3.3%
5057,2019-20,17414,Lake Washington School District,King,Renaissance School,Middle,62.9,50.2,94,1,27,0,0,49,9,8,1.1%,28.7%,0.0%,0.0%,52.1%,9.6%,8.5%
5296,2019-20,17410,Snoqualmie Valley School District,King,Snoqualmie Parent Partnership Program,Other,36.8,20.8,97,0,2,0,1,76,10,8,0.0%,2.1%,0.0%,1.0%,78.4%,10.3%,8.2%
5163,2019-20,17210,Federal Way School District,King,Career Academy at Truman High School,High,69.1,74.2,98,0,2,25,2,15,9,45,0.0%,2.0%,25.5%,2.0%,15.3%,9.2%,45.9%
1951,2019-20,17210,Federal Way School District,King,Support School,Other,76,69.4,101,0,7,13,2,36,20,23,0.0%,6.9%,12.9%,2.0%,35.6%,19.8%,22.8%
1657,2019-20,31025,Marysville School District,Snohomish,Heritage School,High,60.4,57.4,102,58,0,1,1,4,16,22,56.9%,0.0%,1.0%,1.0%,3.9%,15.7%,21.6%
5491,2019-20,17216,Enumclaw School District,King,JJ Smith Elementary,Elementary,46.8,#N/A,104,0,0,1,0,71,6,26,0.0%,0.0%,1.0%,0.0%,68.3%,5.8%,25.0%
5219,2019-20,17210,Federal Way School District,King,Federal Way Public Schools Headstart,Other,74.5,#N/A,106,0,6,24,8,16,9,43,0.0%,5.7%,22.6%,7.5%,15.1%,8.5%,40.6%
3811,2019-20,17417,Northshore School District,King,Secondary Academy for Success,Other,52.6,46.9,107,1,3,5,0,70,7,21,0.9%,2.8%,4.7%,0.0%,65.4%,6.5%,19.6%
5402,2019-20,31025,Marysville School District,Snohomish,Marysville NWESD 189 Youth Engagement,Other,66,#N/A,107,8,3,3,0,53,10,30,7.5%,2.8%,2.8%,0.0%,49.5%,9.3%,28.0%
1907,2019-20,31002,Everett School District,Snohomish,Port Gardner,Other,40.1,28.7,114,0,3,4,1,87,7,12,0.0%,2.6%,3.5%,0.9%,76.3%,6.1%,10.5%
1558,2019-20,31015,Edmonds School District,Snohomish,Unassigned Special Education,Other,68.2,46.3,115,1,12,8,1,54,7,32,0.9%,10.4%,7.0%,0.9%,47.0%,6.1%,27.8%
5522,2019-20,17408,Auburn School District,King,Auburn Opportunity Project,Other,70.5,#N/A,116,1,5,10,1,50,16,33,0.9%,4.3%,8.6%,0.9%,43.1%,13.8%,28.4%
5330,2019-20,31002,Everett School District,Snohomish,Everett Reengagement Academy,Other,63.2,57.1,120,3,2,11,0,65,10,29,2.5%,1.7%,9.2%,0.0%,54.2%,8.3%,24.2%
5583,2019-20,17417,Northshore School District,King,Northshore Family Partnership,Other,41.1,#N/A,121,0,9,0,0,91,15,6,0.0%,7.4%,0.0%,0.0%,75.2%,12.4%,5.0%
1784,2019-20,17403,Renton School District,King,Home Program,Other,29.1,38.9,122,0,2,2,0,102,10,6,0.0%,1.6%,1.6%,0.0%,83.6%,8.2%,4.9%
1854,2019-20,17407,Riverview School District,King,PARADE,Elementary Middle High,36.1,14.1,128,1,1,2,0,101,13,10,0.8%,0.8%,1.6%,0.0%,78.9%,10.2%,7.8%
1771,2019-20,17412,Shoreline School District,King,Home Education Exchange,Other,30,32.3,129,0,9,0,0,107,11,2,0.0%,7.0%,0.0%,0.0%,82.9%,8.5%,1.6%
5405,2019-20,17001,Seattle School District #1,King,Interagency Open Doors,Other,74.8,78.8,131,3,14,39,0,46,9,20,2.3%,10.7%,29.8%,0.0%,35.1%,6.9%,15.3%
1753,2019-20,31004,Lake Stevens School District,Snohomish,Homelink,Other,37,18.8,133,2,0,2,0,104,12,13,1.5%,0.0%,1.5%,0.0%,78.2%,9.0%,9.8%
1814,2019-20,17417,Northshore School District,King,Northshore Networks,Other,39.8,39.8,133,0,3,0,0,101,11,18,0.0%,2.3%,0.0%,0.0%,75.9%,8.3%,13.5%
1519,2019-20,31015,Edmonds School District,Snohomish,Edmonds eLearning Academy,Other,59.2,44.3,134,1,6,6,1,80,15,25,0.7%,4.5%,4.5%,0.7%,59.7%,11.2%,18.7%
1972,2019-20,17401,Highline School District,King,New Start,Other,70.4,67.8,135,6,8,8,11,37,4,61,4.4%,5.9%,5.9%,8.1%,27.4%,3.0%,45.2%
5171,2019-20,31332,Granite Falls School District,Snohomish,Crossroads High School,High,44.3,45.6,136,4,0,3,0,99,12,18,2.9%,0.0%,2.2%,0.0%,72.8%,8.8%,13.2%
3188,2019-20,31330,Darrington School District,Snohomish,Darrington Sr High School,High,29.8,27.1,137,5,0,0,0,114,9,9,3.6%,0.0%,0.0%,0.0%,83.2%,6.6%,6.6%
1667,2019-20,17412,Shoreline School District,King,Handicapped Contractual Services,Other,54.7,60,137,1,10,10,0,89,16,11,0.7%,7.3%,7.3%,0.0%,65.0%,11.7%,8.0%
4287,2019-20,31016,Arlington School District,Snohomish,Weston High School,High,31.4,36.8,139,1,1,2,0,114,6,15,0.7%,0.7%,1.4%,0.0%,82.0%,4.3%,10.8%
1800,2019-20,17414,Lake Washington School District,King,Environmental & Adventure School,Middle,56.3,42,139,0,37,0,0,83,11,8,0.0%,26.6%,0.0%,0.0%,59.7%,7.9%,5.8%
1960,2019-20,31006,Mukilteo School District,Snohomish,ECEAP,Other,77.6,#N/A,139,1,19,25,0,38,15,41,0.7%,13.7%,18.0%,0.0%,27.3%,10.8%,29.5%
1730,2019-20,31201,Snohomish School District,Snohomish,Snohomish Center,Other,35.6,29.7,142,1,5,5,0,113,8,10,0.7%,3.5%,3.5%,0.0%,79.6%,5.6%,7.0%
5406,2019-20,17001,Seattle School District #1,King,Bridges Transition,Other,73.6,71.8,148,2,23,26,1,63,11,22,1.4%,15.5%,17.6%,0.7%,42.6%,7.4%,14.9%
4265,2019-20,31201,Snohomish School District,Snohomish,AIM High School,High,27.4,34.2,149,1,0,0,0,126,9,13,0.7%,0.0%,0.0%,0.0%,84.6%,6.0%,8.7%
1707,2019-20,31401,Stanwood-Camano School District,Snohomish,Lincoln Hill High School,High,28.2,29.3,157,0,0,1,1,132,10,13,0.0%,0.0%,0.6%,0.6%,84.1%,6.4%,8.3%
5004,2019-20,31401,Stanwood-Camano School District,Snohomish,Saratoga School,Other,34.8,24.5,158,1,3,0,0,126,14,14,0.6%,1.9%,0.0%,0.0%,79.7%,8.9%,8.9%
3874,2019-20,17001,Seattle School District #1,King,Licton Springs K-8,Elementary Middle,76,75.1,164,10,7,24,0,62,28,33,6.1%,4.3%,14.6%,0.0%,37.8%,17.1%,20.1%
1915,2019-20,17408,Auburn School District,King,Special Ed School (Auburn),Other,73.4,68.6,175,1,13,14,3,67,26,51,0.6%,7.4%,8.0%,1.7%,38.3%,14.9%,29.1%
4247,2019-20,31006,Mukilteo School District,Snohomish,ACES High School,High,68.7,64.8,175,2,5,13,5,51,19,80,1.1%,2.9%,7.4%,2.9%,29.1%,10.9%,45.7%
1656,2019-20,31025,Marysville School District,Snohomish,10th Street School,Middle,63.6,46.7,178,18,8,3,0,99,18,32,10.1%,4.5%,1.7%,0.0%,55.6%,10.1%,18.0%
1751,2019-20,17001,Seattle School District #1,King,Cascade Parent Partnership Program,Other,66.4,57.8,179,0,9,17,0,91,41,21,0.0%,5.0%,9.5%,0.0%,50.8%,22.9%,11.7%
5487,2019-20,17001,Seattle School District #1,King,Cedar Park Elementary School,Elementary,69,#N/A,185,0,31,16,0,89,36,13,0.0%,16.8%,8.6%,0.0%,48.1%,19.5%,7.0%
5437,2019-20,17411,Issaquah School District,King,Gibson Ek High School,High,41.6,#N/A,188,1,20,1,0,141,7,18,0.5%,10.6%,0.5%,0.0%,75.0%,3.7%,9.6%
1539,2019-20,17401,Highline School District,King,CHOICE Academy,Middle High,77,63,189,0,24,36,1,61,20,47,0.0%,12.7%,19.0%,0.5%,32.3%,10.6%,24.9%
5046,2019-20,17001,Seattle School District #1,King,Private School Services (Seattle),Other,67.8,60.3,191,1,15,19,0,97,27,32,0.5%,7.9%,9.9%,0.0%,50.8%,14.1%,16.8%
5279,2019-20,17210,Federal Way School District,King,Birth to Three Development Center,Other,75.4,74.2,192,0,16,32,5,53,18,68,0.0%,8.3%,16.7%,2.6%,27.6%,9.4%,35.4%
5348,2019-20,17210,Federal Way School District,King,Open Doors Youth Reengagement (Federal Way),Other,78.3,75.1,199,3,7,39,14,48,26,62,1.5%,3.5%,19.6%,7.0%,24.1%,13.1%,31.2%
1895,2019-20,31025,Marysville School District,Snohomish,ECEAP,Other,67.1,#N/A,200,8,3,8,5,98,26,52,4.0%,1.5%,4.0%,2.5%,49.0%,13.0%,26.0%
2702,2019-20,17408,Auburn School District,King,West Auburn Senior High School,High,72.2,70.1,200,7,4,18,6,80,24,61,3.5%,2.0%,9.0%,3.0%,40.0%,12.0%,30.5%
3854,2019-20,31015,Edmonds School District,Snohomish,Scriber Lake High School,High,57,61.3,204,1,9,8,2,125,16,43,0.5%,4.4%,3.9%,1.0%,61.3%,7.8%,21.1%
1624,2019-20,17411,Issaquah School District,King,Issaquah Special Services,Other,70.2,58.3,205,1,53,11,1,92,20,27,0.5%,25.9%,5.4%,0.5%,44.9%,9.8%,13.2%
5028,2019-20,17401,Highline School District,King,Big Picture School,High,68.9,65.6,206,2,10,18,0,85,19,72,1.0%,4.9%,8.7%,0.0%,41.3%,9.2%,35.0%
3185,2019-20,31015,Edmonds School District,Snohomish,Early Childhood Center (Edmonds),Other,75.8,73.3,209,0,29,31,1,73,20,55,0.0%,13.9%,14.8%,0.5%,34.9%,9.6%,26.3%
3868,2019-20,17001,Seattle School District #1,King,Nova High School,High,50.4,49.8,212,1,7,18,0,145,16,25,0.5%,3.3%,8.5%,0.0%,68.4%,7.5%,11.8%
4137,2019-20,31002,Everett School District,Snohomish,Sequoia High School,High,62.2,54.7,214,3,3,11,8,115,13,61,1.4%,1.4%,5.1%,3.7%,53.7%,6.1%,28.5%
1862,2019-20,31025,Marysville School District,Snohomish,Marysville Coop Program,Elementary,55.7,53.1,216,12,1,1,0,135,38,29,5.6%,0.5%,0.5%,0.0%,62.5%,17.6%,13.4%
3665,2019-20,17001,Seattle School District #1,King,Sanislo Elementary School,Elementary,79.9,80.2,218,0,35,42,4,54,32,51,0.0%,16.1%,19.3%,1.8%,24.8%,14.7%,23.4%
1759,2019-20,17210,Federal Way School District,King,Internet Academy,Other,67.3,55.5,219,0,14,10,2,108,36,49,0.0%,6.4%,4.6%,0.9%,49.3%,16.4%,22.4%
5205,2019-20,17001,Seattle School District #1,King,Sand Point Elementary,Elementary,77.1,75.9,221,7,20,31,6,83,44,30,3.2%,9.0%,14.0%,2.7%,37.6%,19.9%,13.6%
5204,2019-20,17001,Seattle School District #1,King,Queen Anne Elementary,Elementary,47.3,45.6,222,0,21,2,0,157,24,18,0.0%,9.5%,0.9%,0.0%,70.7%,10.8%,8.1%
1942,2019-20,17412,Shoreline School District,King,Cascade K-8 Community School,Elementary Middle,52.9,56.4,222,1,11,5,0,146,28,31,0.5%,5.0%,2.3%,0.0%,65.8%,12.6%,14.0%
3903,2019-20,31002,Everett School District,Snohomish,Special Services (Everett),Other,49.8,57.4,228,0,20,2,0,154,8,44,0.0%,8.8%,0.9%,0.0%,67.5%,3.5%,19.3%
2080,2019-20,17001,Seattle School District #1,King,Stevens Elementary School,Elementary,66.5,63.7,231,1,9,37,0,119,41,24,0.4%,3.9%,16.0%,0.0%,51.5%,17.7%,10.4%
5488,2019-20,17001,Seattle School District #1,King,Stephen Decatur Elementary School,Elementary,64.4,#N/A,231,0,56,1,0,116,48,10,0.0%,24.2%,0.4%,0.0%,50.2%,20.8%,4.3%
1848,2019-20,31006,Mukilteo School District,Snohomish,Special Services (Mukilteo),Other,71,62.1,236,1,34,14,3,96,15,73,0.4%,14.4%,5.9%,1.3%,40.7%,6.4%,30.9%
3032,2019-20,17401,Highline School District,King,Southern Heights Elementary,Elementary,71.4,69.6,237,3,51,6,20,34,15,108,1.3%,21.5%,2.5%,8.4%,14.3%,6.3%,45.6%
2201,2019-20,17001,Seattle School District #1,King,McGilvra Elementary School,Elementary,57.9,53.9,238,0,26,9,0,146,37,20,0.0%,10.9%,3.8%,0.0%,61.3%,15.5%,8.4%
5282,2019-20,17403,Renton School District,King,Secondary Learning Center,Other,77.9,76.2,239,3,20,39,4,66,36,71,1.3%,8.4%,16.3%,1.7%,27.6%,15.1%,29.7%
1815,2019-20,17417,Northshore School District,King,Northshore Special Services,Other,63,66.7,242,1,42,8,1,134,15,41,0.4%,17.4%,3.3%,0.4%,55.4%,6.2%,16.9%
3380,2019-20,17001,Seattle School District #1,King,Rainier View Elementary School (Seattle),Elementary,74.7,74.5,244,0,67,87,3,18,22,47,0.0%,27.5%,35.7%,1.2%,7.4%,9.0%,19.3%
5098,2019-20,17415,Kent School District,King,Kent Phoenix Academy,High,73.3,73.3,248,2,15,24,6,98,33,70,0.8%,6.0%,9.7%,2.4%,39.5%,13.3%,28.2%
2322,2019-20,17001,Seattle School District #1,King,Montlake Elementary School,Elementary,47.4,51.6,250,0,22,7,0,175,41,5,0.0%,8.8%,2.8%,0.0%,70.0%,16.4%,2.0%
3028,2019-20,17001,Seattle School District #1,King,Sacajawea Elementary School,Elementary,66.2,61,252,3,19,15,0,132,41,42,1.2%,7.5%,6.0%,0.0%,52.4%,16.3%,16.7%
5150,2019-20,17415,Kent School District,King,Birth to Age 2,Other,72.2,73.9,252,1,34,28,1,110,22,56,0.4%,13.5%,11.1%,0.4%,43.7%,8.7%,22.2%
1856,2019-20,17001,Seattle School District #1,King,The Center School,High,44.5,47.8,253,2,16,5,0,185,23,22,0.8%,6.3%,2.0%,0.0%,73.1%,9.1%,8.7%
2493,2019-20,17417,Northshore School District,King,C O Sorenson,Other,69.7,63.3,253,0,42,15,0,116,21,59,0.0%,16.6%,5.9%,0.0%,45.8%,8.3%,23.3%
3027,2019-20,17001,Seattle School District #1,King,Northgate Elementary School,Elementary,74.5,78.1,254,3,20,67,0,52,20,92,1.2%,7.9%,26.4%,0.0%,20.5%,7.9%,36.2%
1883,2019-20,31103,Monroe School District,Snohomish,Youth Re-Engagement,Other,38.8,39.4,258,3,5,16,0,198,1,35,1.2%,1.9%,6.2%,0.0%,76.7%,0.4%,13.6%
3005,2019-20,31201,Snohomish School District,Snohomish,Emerson Elementary (Snohomish),Elementary,50.5,44.9,259,1,1,2,2,170,21,62,0.4%,0.4%,0.8%,0.8%,65.6%,8.1%,23.9%
3014,2019-20,17415,Kent School District,King,Kent Mountain View Academy,Elementary Middle High,73.1,72.2,259,0,57,39,1,109,27,26,0.0%,22.0%,15.1%,0.4%,42.1%,10.4%,10.0%
1910,2019-20,31025,Marysville School District,Snohomish,Marysville SD Special,Other,67.2,66.2,260,17,12,8,0,130,32,61,6.5%,4.6%,3.1%,0.0%,50.0%,12.3%,23.5%
2446,2019-20,31201,Snohomish School District,Snohomish,Central Elementary,Elementary,50.4,46,262,0,2,5,0,171,17,67,0.0%,0.8%,1.9%,0.0%,65.3%,6.5%,25.6%
1927,2019-20,31025,Marysville School District,Snohomish,Marysville Arts and Technology High School,High,59.7,40.5,266,21,4,2,2,157,30,50,7.9%,1.5%,0.8%,0.8%,59.0%,11.3%,18.8%
3676,2019-20,17415,Kent School District,King,Cedar Valley Elementary School,Elementary,64.7,66.4,269,3,7,14,0,136,34,75,1.1%,2.6%,5.2%,0.0%,50.6%,12.6%,27.9%
2069,2019-20,17001,Seattle School District #1,King,Madrona K-8 School,Elementary Middle,72.3,69.5,269,0,10,89,2,95,49,24,0.0%,3.7%,33.1%,0.7%,35.3%,18.2%,8.9%
5592,2019-20,17412,Shoreline School District,King,North City,Elementary,65.3,#N/A,275,0,41,25,1,149,32,27,0.0%,14.9%,9.1%,0.4%,54.2%,11.6%,9.8%
